Battle     49:     C     D
     0            25    25
     5            22    25
    10            17    25
    15            16    19
    20            15    17
    25            13    13
    30            10    12
    35            10    12
    40             7    11
    45             5     7
    50             5     5
    55             5     5

Battle     50:     C     D
     0            40    10
     5            40     6
    10            40     4
    15            40     1
    20            40     0

Battle     51:     C     D
     0            10    40
     5             5    40
    10             2    39
    15             1    39
    20             0    39

Battle     52:     C     D
     0            40    10
     5            40     6
    10            39     5
    15            39     4
    20            39     3
    25            39     2
    30            39     1
    35            39     0

Battle     53:     C     D
     0            10    40
     5             5    40
    10             3    40
    15             1    40
    20             0    40

Battle     54:     C     D
     0            25    25
     5            19    20
    10            18    17
    15            18    17
    20            15    16
    25            13    15
    30            11    13
    35             9    13
    40             9    10
    45             6    10
    50             6     8
    55             5     7
    60             4     7
    65             1     6
    70             1     6
    75             0     6

Battle     55:     C     D
     0            10    40
     5             3    40
    10             1    40
    15             1    40
    20             0    40

Battle     56:     C     D
     0            25    25
     5            24    20
    10            22    16
    15            21    14
    20            20    10
    25            20     8
    30            20     5
    35            19     5
    40            19     4
    45            19     4
    50            19     3
    55            19     1
    60            19     0

Battle     57:     C     D
     0            40    10
     5            40     7
    10            40     5
    15            40     0

Battle     58:     C     D
     0            25    25
     5            25    21
    10            25    15
    15            25    15
    20            25    12
    25            24    10
    30            24     5
    35            24     5
    40            24     5
    45            24     3
    50            24     3
    55            24     3
    60            24     1
    65            24     0

Battle     59:     C     D
     0            25    25
     5            14    25
    10            10    25
    15             8    25
    20             8    25
    25             8    25
    30             8    25
    35             5    25
    40             5    25
    45             3    25
    50             3    25
    55             1    25
    60             0    25

Battle     60:     C     D
     0            25    25
     5            25    19
    10            25    12
    15            25     7
    20            25     7
    25            25     6
    30            25     6
    35            25     6
    40            25     6
    45            25     5
    50            25     5
    55            25     4
    60            25     2
    65            25     0

Battle     61:     C     D
     0            25    25
     5            18    25
    10            15    25
    15            15    25
    20            13    25
    25            13    25
    30            13    25
    35            13    25
    40            13    25
    45            13    25
    50            11    25
    55             7    25
    60             6    25
    65             6    25
    70             6    25
    75             6    25
    80             3    25
    85             3    25
    90             2    25
    95             2    25
   100             2    25
   105             0    25

Battle     62:     C     D
     0            25    25
     5            25    19
    10            25    14
    15            25    14
    20            25    12
    25            25    12
    30            25    10
    35            25     5
    40            25     5
    45            25     5
    50            25     3
    55            25     3
    60            25     1
    65            25     1
    70            25     1
    75            25     1
    80            25     0

Battle     63:     C     D
     0            25    25
     5            16    25
    10            16    25
    15            13    25
    20            12    25
    25            10    25
    30             9    25
    35             7    25
    40             5    25
    45             5    25
    50             4    25
    55             4    25
    60             4    25
    65             2    25
    70             0    25

Battle     64:     C     D
     0            10    40
    30            10    31
    60            10    27
    90            10    15
   120            10    15
   150            10    13
   180            10     5
   240            10     5
   300            10     5
   360            10     3
   420            10     3
   480            10     3
   540            10     3
   600             9     2
   660             9     2
   720             9     2

Battle     65:     C     D
     0            10    40
    30            10    19
    60            10     9
    90            10     5
   120            10     0

Battle     66:     C     D
     0            10    40
    30            10    30
    60            10    22
    90             9    18
   120             8    15
   150             6    13
   180             6    11
   240             6    11
   300             6    10
   360             6     6
   420             6     6
   480             6     6
   540             6     6
   600             5     6
   660             5     4
   720             5     4

Battle     67:     C     D
     0            40    10
    30            27    10
    60            16    10
    90            14    10
   120            13    10
   150             8    10
   180             5    10
   240             5    10
   300             2    10
   360             0    10

Battle     68:     C     D
     0            40    10
    30            36    10
    60            29    10
    90            26    10
   120            26    10
   150            17    10
   180            17    10
   240            16    10
   300            14    10
   360             7    10
   420             7    10
   480             6    10
   540             4    10
   600             2    10
   660             2    10
   720             2    10

Battle     69:     C     D
     0            40    10
    30            33    10
    60            27    10
    90            22    10
   120            22    10
   150            17    10
   180            16    10
   240            16    10
   300            16    10
   360            13    10
   420            12    10
   480            11    10
   540             9    10
   600             9    10
   660             8    10
   720             8    10

Battle    132:     F     G
     0            10    40
     5             0    40

Battle    133:     F     G
     0            40    10
     5            38     3
    10            38     2
    15            38     1
    20            38     0

Battle    134:     F     G
     0            10    40
     5             4    39
    10             2    39
    15             2    39
    20             0    39

Battle    135:     F     G
     0            40    10
     5            39     5
    10            39     4
    15            39     4
    20            39     3
    25            39     2
    30            39     0

Battle    136:     F     G
     0            10    40
     5             3    40
    10             3    40
    15             2    40
    20             0    40

Battle    137:     F     G
     0            40    10
     5            39     5
    10            38     2
    15            38     0

Battle    138:     F     G
     0            25    25
     5            18    18
    10            14    15
    15            14    14
    20            11    14
